,Cell IdX,Cell IdY,Cell IdZ,X [mm],Y [mm],Z [mm],Dose,FieldScalingFactor
129,2,7,0,-14.0,6.0,2.0,0.00544498,0.34647678095909795
130,2,7,1,-14.0,6.0,6.0,0.00544498,0.35082549352303916
131,2,7,2,-14.0,6.0,10.0,0.00544498,0.3552777955908788
132,2,8,0,-14.0,10.0,2.0,0.00544498,0.34590026777720917
133,2,8,1,-14.0,10.0,6.0,0.00544498,0.3502282783533282
134,2,8,2,-14.0,10.0,10.0,0.00544498,0.35465887850839034
135,0,6,3,-22.0,2.0,14.0,0.00682471,0.3600003921710601
136,0,6,4,-22.0,2.0,18.0,0.00682471,0.36467731317961466
137,0,6,5,-22.0,2.0,22.0,0.00682471,0.3694698485166452
138,0,7,3,-22.0,6.0,14.0,0.00682471,0.35948377638398743
139,0,7,4,-22.0,6.0,18.0,0.00682471,0.36414146565403316
140,0,7,5,-22.0,6.0,22.0,0.00682471,0.3689138060938282
141,0,8,3,-22.0,10.0,14.0,0.00682471,0.3588628393862733
142,0,8,4,-22.0,10.0,18.0,0.00682471,0.3634974636055602
143,0,8,5,-22.0,10.0,22.0,0.00682471,0.36824558705034466
144,1,6,3,-18.0,2.0,14.0,0.00682471,0.3602190738075309
145,1,6,4,-18.0,2.0,18.0,0.00682471,0.3649041453297846
146,1,6,5,-18.0,2.0,22.0,0.00682471,0.36970524000032295
147,1,7,3,-18.0,6.0,14.0,0.00682471,0.35969209883827397
148,1,7,4,-18.0,6.0,18.0,0.00682471,0.3643575273237079
149,1,7,5,-18.0,6.0,22.0,0.00682471,0.3691379935592008
150,1,8,3,-18.0,10.0,14.0,0.00682471,0.3590606567077293
151,1,8,4,-18.0,10.0,18.0,0.00682471,0.36370259983767583
152,1,8,5,-18.0,10.0,22.0,0.00682471,0.36845840586262557
153,2,6,3,-14.0,2.0,14.0,0.00682471,0.3603745232699523
154,2,6,4,-14.0,2.0,18.0,0.00682471,0.3650653933683909
155,2,6,5,-14.0,2.0,22.0,0.00682471,0.3698725777716568
156,2,7,3,-14.0,6.0,14.0,0.00682471,0.3598374101944702
157,2,7,4,-14.0,6.0,18.0,0.00682471,0.36450823978196567
158,2,7,5,-14.0,6.0,22.0,0.00682471,0.36929437708364754
159,2,8,3,-14.0,10.0,14.0,0.00682471,0.3591957303687224
160,2,8,4,-14.0,10.0,18.0,0.00682471,0.3638426709858272
161,2,8,5,-14.0,10.0,22.0,0.00682471,0.36860372281236875
162,0,9,0,-22.0,14.0,2.0,0.00042721,0.3449500743645616
163,0,9,1,-22.0,14.0,6.0,0.00042721,0.3492441311795379
164,0,9,2,-22.0,14.0,10.0,0.00042721,0.3536391477988418
165,0,10,0,-22.0,18.0,2.0,0.00042721,0.34420730111249853
166,0,10,1,-22.0,18.0,6.0,0.00042721,0.34847487936086413
167,0,10,2,-22.0,18.0,10.0,0.00042721,0.35284215029950755
168,0,11,0,-22.0,22.0,2.0,0.00042721,0.3433738921327576
169,0,11,1,-22.0,22.0,6.0,0.00042721,0.34761185479415585
170,0,11,2,-22.0,22.0,10.0,0.00042721,0.35194809863591736
171,1,9,0,-18.0,14.0,2.0,0.00042721,0.34511843251050056
172,1,9,1,-18.0,14.0,6.0,0.00042721,0.34941847196359704
173,1,9,2,-18.0,14.0,10.0,0.00042721,0.3538197563324966
174,1,10,0,-18.0,18.0,2.0,0.00042721,0.34436607727915775
175,1,10,1,-18.0,18.0,6.0,0.00042721,0.3486392656601587
176,1,10,2,-18.0,18.0,10.0,0.00042721,0.3530124121261466
177,1,11,0,-18.0,22.0,2.0,0.00042721,0.34352299485618754
178,1,11,1,-18.0,22.0,6.0,0.00042721,0.34776618992002956
179,1,11,2,-18.0,22.0,10.0,0.00042721,0.35210791148566584
180,2,9,0,-14.0,14.0,2.0,0.00042721,0.3452306462475466
181,2,9,1,-14.0,14.0,6.0,0.00042721,0.3495346702474702
182,2,9,2,-14.0,14.0,10.0,0.00042721,0.3539401288617495
183,2,10,0,-14.0,18.0,2.0,0.00042721,0.3444690088198197
184,2,10,1,-14.0,18.0,6.0,0.00042721,0.3487458271983339
185,2,10,2,-14.0,18.0,10.0,0.00042721,0.35312277494445804
186,2,11,0,-14.0,22.0,2.0,0.00042721,0.3436165894821584
187,2,11,1,-14.0,22.0,6.0,0.00042721,0.34786305690872715
188,2,11,2,-14.0,22.0,10.0,0.00042721,0.3522082034968739
189,0,9,3,-22.0,14.0,14.0,0.00073672,0.35813868783917424
190,0,9,4,-22.0,14.0,18.0,0.00073672,0.36274648264495307
191,0,9,5,-22.0,14.0,22.0,0.00073672,0.36746644114636234
192,0,10,3,-22.0,18.0,14.0,0.00073672,0.3573126012397498
193,0,10,4,-22.0,18.0,18.0,0.00073672,0.361889881670105
194,0,10,5,-22.0,18.0,22.0,0.00073672,0.3665778126402386
195,0,11,3,-22.0,22.0,14.0,0.00073672,0.35638602639086076
196,0,11,4,-22.0,22.0,18.0,0.00073672,0.3609291968533692
197,0,11,5,-22.0,22.0,22.0,0.00073672,0.36558133374470064
198,1,9,3,-18.0,14.0,14.0,0.00073672,0.3583258663137471
199,1,9,4,-18.0,14.0,18.0,0.00073672,0.3629405515660083
200,1,9,5,-18.0,14.0,22.0,0.00073672,0.3676677406727552
201,1,10,3,-18.0,18.0,14.0,0.00073672,0.3574890197408214
202,1,10,4,-18.0,18.0,18.0,0.00073672,0.36207275487065543
203,1,10,5,-18.0,18.0,22.0,0.00073672,0.3667674566629282
204,1,11,3,-18.0,22.0,14.0,0.00073672,0.35655157668261517
205,1,11,4,-18.0,22.0,18.0,0.00073672,0.3611007597162354
206,1,11,5,-18.0,22.0,22.0,0.00073672,0.3657592008163154
207,2,9,3,-14.0,14.0,14.0,0.00073672,0.358450614136108
208,2,9,4,-14.0,14.0,18.0,0.00073672,0.3630698878972547
209,2,9,5,-14.0,14.0,22.0,0.00073672,0.36780189178476397
